Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
25.5,44.9,12,24.2,5.9,23.9,0.62,13.5,317,Good
29.5,57.6,4,17,36.7,13,0.89,6,285,Good
26.5,50.1,28.5,35.9,11.1,0,1.54,2.3,321,Moderate
21.3,70,63,72.5,52.4,16.2,1.23,4.8,300,Poor
22.5,47,29,41.3,24.2,7.9,1.4,0.1,321,Moderate
28.5,39.4,29.2,30.5,9.9,6.4,0.6,0.7,308,Hazardous
31,89.7,58.8,70.9,23.3,4.9,0.95,5.6,299,Good
29.2,69.7,17.1,30.5,16.7,25.1,1.03,1.8,321,Moderate
14.6,74.3,25.7,44.1,17.5,17.4,0.82,0.6,279,Moderate
32.6,47.6,60.1,71.6,29.9,11.7,0.53,7.1,298,Good
30.4,66.9,2.7,13.4,19.4,11.8,0.57,0.6,324,Hazardous
27.3,49.1,1.9,15.6,29.8,10.8,0.83,0.5,327,Hazardous
25.5,71.8,35.3,45.5,26.8,27.1,0.92,5.3,306,Good
23.1,42.9,12.2,24.7,20.6,23.2,0.86,3.6,349,Hazardous
28.6,65.1,24.5,24.1,18.4,22.3,0.83,1.6,352,Moderate
24.8,47.4,24.5,27,17.6,29,1.19,5.1,318,Poor
12.1,44.9,10.2,14.6,34.8,13.3,1.3,1.2,299,Good
19.8,62.2,33.1,40.3,22.2,14.2,1.27,3.2,297,Moderate
27.7,61.8,34.7,45.4,9.5,7.4,0.42,0.6,338,Good
14.4,70,63.2,68.1,16.1,16.7,0.44,3.7,297,Moderate
25.6,72.2,25.5,41.9,17.4,17.7,1.21,1.1,281,Good
19.8,74.3,52.5,58.9,27.6,5.9,1.04,3.8,293,Good
22.9,60.9,12.4,16.2,18.3,19.5,0.86,3.4,292,Good
18.8,73.8,64.6,78.5,6.5,17.4,0.8,2.2,298,Poor
13.8,72.2,7.7,15.4,7.3,6.6,0.77,4.6,316,Moderate
28,59.4,165.2,169.3,10.7,7.4,0.12,4.8,261,Poor
18.1,70.1,1.2,7.7,19.2,24.7,0.66,5.6,280,Good
19.6,73.7,70.2,78.4,29.8,19,0.71,4,294,Poor
26.1,64.2,15.3,28.2,24.5,9.2,0.8,1.6,322,Good
29.3,43.9,6.9,14.8,22.6,8.4,1.27,4,289,Poor
14.6,66.8,34.6,43.4,31.9,9.7,1.29,4.8,305,Moderate
30.4,44.9,60.4,73.2,6.6,26,1.21,1.7,289,Moderate
22.4,55.8,2.5,14.6,18.7,12.9,1.09,0.3,308,Moderate
18.3,44.4,6,18.1,23.1,18.1,0.52,1.2,293,Good
26.1,55,0.6,8.2,14.4,8.2,0.6,1.4,318,Good
15.9,83.4,17.9,37.4,12.1,6.2,0.9,5.5,311,Poor
28.7,62.8,11.3,26.8,9.4,6.8,1.43,5.3,320,Poor
34.6,49.9,21.2,26.9,16.3,26.1,1.23,1.2,272,Hazardous
19.6,63.9,3.2,10.8,10.4,10.6,1.01,3.7,293,Good
26.8,78.7,4.2,11.2,16.6,23.4,0.35,3.6,293,Moderate
19.3,47.2,8,27.5,13,12.3,0.34,5.6,283,Moderate
30.6,80.7,7.8,15.4,12.9,8.1,0.87,10,288,Poor
24.3,58.6,41.7,56.1,17.2,11.2,0.67,7.5,262,Moderate
29.1,37.7,23.9,35.2,6.6,22.2,0.95,2.2,310,Moderate
29.6,60.3,47.5,56.3,25.8,30.8,1.13,9.2,291,Poor
28.3,58.4,11.1,18.9,15.6,20,0.84,1,315,Good
19.1,74.5,29.5,38.8,15.4,10.4,0.41,4.3,317,Poor
30.3,54.3,18.8,29.2,22,17.9,1.17,24.6,326,Good
23.2,42.5,9.6,22.9,24,2.3,1.36,5.9,293,Moderate
27.8,66.6,5.9,22.5,16.2,15.5,0.8,6.5,290,Good
31.5,35.7,26.9,35.9,-1.2,7.8,0.85,4.8,298,Good
26.4,63.4,11.5,20.4,26.9,15.6,1.4,0.6,302,Moderate
26.6,57.8,9.5,12.7,34,25,0.75,3.8,300,Moderate
20.7,38.8,2.2,8.3,25.3,10.8,1.09,0,330,Moderate
21.3,69.1,2.1,10.3,22.1,10.5,1.06,0.9,315,Good
24.3,54.6,5.1,12,33.9,22.4,1.15,12.5,295,Good
25.6,54.3,24.5,34.4,26.6,22.5,0.87,2.7,290,Good
25.7,38,12.5,22.2,13.6,15.9,1.15,7.2,295,Poor
27.3,31.4,5.7,7.3,20.6,11.2,1.23,2.8,294,Poor
21.8,85.9,25.9,41.9,6.5,20.1,0.74,7.1,299,Moderate
38,57.7,23.1,36.8,4.7,0,0.72,2.6,288,Poor
26,50.6,34.5,37,4.1,4.5,0.73,7.1,309,Moderate
17.3,72.5,18.6,25.5,16.4,14.5,0.9,4.8,296,Good
25.5,84.7,1.6,18.2,21.7,13.9,0.79,5.7,319,Hazardous
26.2,79.8,21.8,31.6,27.8,28.1,0.55,2,316,Moderate
26.3,53.8,7.5,13.7,33.7,23.3,1.23,0.3,310,Good
25,62.9,0.4,12.4,18.8,11.4,0.46,0,310,Good
19.9,40,10.5,26,17.3,20,0.73,2.5,314,Poor
20.3,48.7,1.5,14.2,21.2,7.1,0.86,3.8,285,Moderate
15,51.1,13.6,22.9,43.7,28.8,0.73,3.9,288,Moderate
18.7,63.4,37.5,42.8,4.3,12.6,1.68,1.3,332,Hazardous
25.6,33.1,31.1,38.5,24.7,12.6,1.23,20.6,291,Poor
21,61.7,11.6,20.7,20.4,13.1,0.88,4.5,319,Moderate
22.2,37.9,22,27.5,26.6,17.8,0.69,3,302,Poor
24.7,52.4,77.4,88.7,51.2,18.1,0.89,4.5,316,Poor
31.9,63.6,103.6,117.8,16.8,6.8,0.99,0.7,290,Poor
19.9,63.8,36.3,57.2,13.1,13.7,0.5,4.3,281,Poor
15.9,70.1,11.8,29.3,13.6,8.2,1.05,4.9,321,Poor
29.3,63.1,6.6,12,14.5,11.6,0.6,22.4,271,Hazardous
19.1,58.1,112.9,129.9,29.2,32.1,0.82,1.2,295,Good
25.9,77,62.4,68.7,27.4,16.7,1.17,3.9,309,Moderate
22.6,48.9,16.1,26.6,18.1,14.4,0.64,1.5,298,Poor
23.5,83.4,58.5,78.7,35.5,14.2,1.57,0.4,278,Moderate
31.2,36,0.9,16.5,18,21.2,1.13,7.9,283,Moderate
28.9,60.1,2.3,5.5,24.3,18.2,0.45,2,323,Good
25.4,50.9,28.5,38.9,20.1,16.9,0.95,1.4,301,Good
36,56,53.6,62.7,9.2,0,1.19,7.1,322,Moderate
23.5,58.1,45.8,51.5,22.7,16.6,1.27,0.1,329,Good
29.5,83.3,0.1,15.7,21.5,15.8,0.32,6.8,303,Good
24.9,67.5,93.3,100.4,16.5,16.4,0.4,5.3,305,Poor
24.4,64.7,25.6,30.6,11.9,14.8,0.68,0.8,300,Good
28.4,62.8,62.9,73.3,4.8,15.9,1.07,3.6,288,Good
30,66.8,2.9,11.7,17.6,17.7,1.14,2.5,295,Good
18.5,22.6,1.5,12.6,24.1,11.4,0.94,2.5,291,Moderate
26.8,56.9,17.1,28.2,17.9,14.4,0.71,17.6,296,Good
25.5,54.6,40.8,45.9,22,16.5,0.99,2.3,287,Good
22.3,66.7,50.4,65.7,21.9,21.4,0.59,3.2,288,Moderate
32.7,58.9,8.1,25.5,37.5,6.3,0.84,14.7,322,Hazardous
26.6,64.1,43.8,54.6,19.2,17.7,1.08,0.2,273,Good
24.5,72.9,6.5,11.9,19.4,21.8,0.92,0.1,290,Good
27.7,60.2,0.1,14.8,18.7,15.1,0.55,10.7,264,Hazardous
24.5,67.2,33.3,45.6,8.4,0.8,0.54,6.9,283,Poor
24.6,31.2,25.3,28.7,29.9,21,0.76,1.3,303,Poor
21.9,53.9,56.1,70.7,17.4,17.1,0.8,3.9,308,Good
28.1,62.2,39,55.5,-3.3,12,0.66,1.5,300,Moderate
29,58.2,42.1,58.5,27,16.4,0.88,3.1,288,Moderate
30.9,57.5,26.5,36.9,7.9,16.5,0.32,3.2,318,Hazardous
36,77.7,6.3,25.1,10.9,15,0.8,3.2,311,Poor
29.6,73.1,17.7,26.3,8.7,11.1,0.25,1.3,335,Good
28.6,78.5,52.3,69.1,22.1,16.2,0.99,5.5,310,Hazardous
16.6,48.5,26.9,32.6,18.1,18.9,1.18,1.7,301,Moderate
30.8,36,45.6,50.8,58.2,18.9,0.96,0.3,285,Poor
31,58.4,47.1,56.6,13.9,13.4,1.22,7.7,312,Poor
29.6,63.8,44.7,50.1,18.2,16.8,1.06,12.1,289,Good
27.8,52.5,2.9,19.1,23.6,12,0.71,6.4,278,Good
33.6,87.9,14.8,22.5,27.5,24.2,1.03,29.8,300,Good
35.7,80.2,1.2,16.4,3,0.1,1.65,1.6,289,Poor
25.8,44.7,5.5,11.8,13.8,3.7,0.91,1.7,310,Good
18.1,52.4,125.6,137.7,30.9,9.5,1.42,9.7,319,Poor
35.5,60.9,35.4,46.7,19.8,26.7,1.18,4.2,276,Good
21.3,44.8,185.4,196.8,10,15.6,0.69,7.3,298,Good
23.1,38,61.6,74.6,9.7,22.6,1.06,4.9,312,Moderate
32.3,52.5,31.9,44.8,29.3,12.7,0.51,2.6,292,Poor
24.6,53.6,8.3,20.5,26.6,23.2,1.21,3.3,306,Poor
18.3,63.8,11.1,21.4,29.7,31.2,0.98,0.3,291,Hazardous
36.5,70,17.8,29.6,11.7,10.4,0.64,4.6,290,Moderate
24.4,53.2,5.4,9.6,7.1,17.2,1.17,3,313,Moderate
24.9,64.9,46.9,57.2,24.5,14,0.83,1.9,285,Moderate
21,69.1,46.2,55.3,5.4,17.5,1.4,4.5,282,Good
19.8,51.2,14.6,29.5,23.3,15.9,1.3,10.2,293,Good
25.1,57.4,9.5,21.3,24.5,15.4,1.16,3.2,305,Good
18.7,86.7,17.1,27.7,35.6,8.6,1.18,16.1,311,Moderate
23.6,85.4,9.8,20.4,16.4,21.4,1.37,10.3,314,Poor
28.6,71.3,18.1,33.7,33.1,3.7,0.73,1.3,293,Good
26.7,57.5,27,36.2,23,20.2,0.97,2.6,302,Poor
20.3,71.4,38.4,50.5,24.9,30.3,0.97,2.3,311,Good
21.8,40.8,21.9,26.2,14.6,32.3,1.21,0.1,302,Moderate
29.7,98.6,12.9,20.7,2.9,15.3,0.57,6.7,305,Moderate
27,86.4,22.5,25,1.1,5,1.06,7.4,327,Moderate
33.9,76.3,67.5,76.9,17,11.6,0.74,6.3,293,Moderate
28.6,67.8,16.7,29,17.7,10.3,0.85,0.9,311,Hazardous
24.3,74.5,3.7,19.1,22.6,28.2,0.49,5.3,302,Moderate
19.8,74.3,3.2,11.6,30.3,18.5,1.14,5.6,281,Moderate
29.6,49.1,5.3,22.9,20.6,11.7,1.13,1.4,319,Good
30.4,66.2,5.6,16.4,34.7,13.6,1.51,11,284,Moderate
42.4,55.5,21.3,26.5,16.1,19.4,0.68,6.9,277,Hazardous
30.4,53.4,84.4,103.3,36.5,16.2,0.81,3.4,312,Moderate
17.7,51.2,5.2,10.2,23,13.8,1.3,26.7,306,Poor
19.3,59.2,31.6,45.6,2.6,20.9,0.67,5.1,311,Good
26.3,67.2,57,65.2,51.2,11.4,0.99,0,286,Moderate
21.5,61.2,61.4,81.8,30.4,1.4,0.91,1.9,296,Moderate
22.8,45.5,18.7,27.2,20.7,28.1,1.09,6,326,Good
26,77.2,31.2,43.1,33,20.9,0.81,21.4,342,Good
29.9,64.4,40.8,48,24,18.6,1.09,2.2,274,Hazardous
31.1,61.3,15.6,22.4,14.5,19.2,0.56,2.6,328,Good
25.5,63.7,2,14.2,19.2,20.6,1.25,1.3,313,Moderate
21.1,58,27.8,35.3,2.6,9.9,1.04,9,306,Good
26.5,67.3,102.6,112.4,2.3,14.6,0.92,20.4,323,Hazardous
22.4,36.9,9.1,18.5,24.7,19.3,0.55,6.7,318,Moderate
24.1,54.3,3.4,19.3,22.5,12,1.43,4.3,314,Moderate
27.8,40.2,2.6,10.2,15.6,9,0.97,9.8,309,Good
17,86.1,134.1,140.4,28,4.4,0.7,0.7,277,Poor
15.7,71.9,34,43.3,35.2,4.7,0.89,18.3,279,Good
25.8,41.1,27.8,34.6,17.2,21.3,1.11,10.9,307,Good
25.4,81.4,10.1,14.1,35.8,25.2,0.72,2.3,281,Good
24.6,77.6,106.1,120.8,6,18.3,0.64,0.2,290,Moderate
17,72.7,16.2,38,33.7,19.3,1.69,15.7,258,Moderate
23.8,83.1,62.3,80,15.3,12.3,0.81,4.6,310,Poor
31.2,62.6,8.4,17.8,37.7,0.4,0.78,1.3,292,Good
19.9,35.7,8.1,18.3,14.7,22.5,0.84,0.1,303,Poor
24.1,38.6,12.7,24.3,31.5,24.7,0.42,2.9,291,Good
22,62.4,0.3,10.9,22.1,9.8,1.05,0.7,306,Moderate
18.5,74.7,52.7,65.8,51.8,25.3,1.06,3.9,303,Moderate
22.8,68.4,0.9,12.5,19.2,16.3,0.9,1.1,293,Good
19.2,72.6,0.8,16.2,30.7,15.8,1.04,4.5,318,Good
22.2,60.7,5,20.6,13.4,20.1,1.24,3.2,270,Good
28.5,43.9,126,142.1,22.6,8.7,0.56,11,335,Moderate
25.3,66.8,7.5,12.4,6.5,29.4,0.21,0,284,Poor
29.3,77.5,59.3,69.1,30.6,7.5,0.88,16.4,297,Good
24.8,47.8,128.1,135.4,24,8.1,1.28,24.9,304,Moderate
32.7,67.6,125.4,134.4,9.2,11.7,0.82,5.1,301,Good
21,69.4,30.3,33.8,21.3,23.3,1.69,3.9,287,Good
25.4,50.8,48.3,49,28.4,14.3,0.67,0.7,268,Good
30.6,68.8,6.9,11.2,16.6,23,1.44,0.6,300,Hazardous
26,60.2,38.4,49.6,35.1,18.5,1.12,0.7,251,Hazardous
27.8,71.9,63.3,65.4,14,29.2,0.91,0.4,300,Good
27.3,65.3,55.5,63,25.7,5.1,0.87,3.4,299,Hazardous
27,34.6,14.5,24.2,22.7,14.7,1.19,3.4,304,Good
17,51.3,47.6,55.4,20.6,8.7,1.38,15.5,297,Poor
13.8,66.2,77.1,83.7,22,23,0.83,2.8,330,Good
30.3,52.1,7.3,20.5,22.9,10.6,1.1,13.8,293,Good
26.2,55.3,55.8,71.8,7.7,18.2,0.81,2.1,315,Poor
17.4,76.7,45.3,52.7,44.1,12.2,1.08,2.2,253,Hazardous
24.1,56.9,38.1,45.9,13.2,3.9,0.64,11.9,295,Good
30.1,39.3,7.4,16.2,14.2,11.1,0.8,2.1,314,Hazardous
22.1,20.4,103.6,107.1,31,5.9,1.16,2.6,316,Good
21.1,84.2,7.4,19.2,12.7,22.7,0.88,1.8,268,Hazardous
29.8,58.9,11,13.1,-11.7,12.8,0.78,0.4,303,Moderate
21.5,46.1,15.4,24.9,22.8,16.8,0.79,0.3,319,Moderate
26.3,40.9,5.9,14.9,14.1,20.1,0.68,0.5,280,Good
22.8,46.9,43,51.4,42.1,10.2,0.25,4.7,288,Moderate
44,69.8,6.4,10.9,13.4,26.9,1.43,2.4,305,Poor
23.6,42,5.4,13.5,15.9,13,0.54,2.7,280,Good
27.5,51.8,77.9,99,28.1,8.7,1.08,5.6,337,Good
23,49.5,10.9,18.1,24.3,9.4,0.77,5.2,279,Good
20.3,89.3,14,34.3,-1.5,18.7,0.96,5.5,307,Good
28.5,32.1,29.6,31.3,19.8,25.6,1.37,2.1,284,Good
24,37.8,5.2,25.8,14.6,7.6,0.67,1,290,Moderate
31.5,61.4,51.9,71.1,25.4,0.6,0.61,4.9,294,Good
27.3,54.3,19.5,35,25.1,11.5,0.98,7.9,303,Good
26.5,43.2,26.3,40.1,16.2,9,0.9,3.2,282,Good
38.6,79.3,55.4,55.8,24.5,20.7,0.64,11.5,316,Poor
23.3,61.3,26.1,35.9,31.7,7.8,1.19,4.3,307,Good
21.8,43.2,50,58.9,28.1,18.9,0.64,2.3,335,Good
19.9,52.7,79.6,89.3,1.3,19.6,0.9,0.1,334,Poor
20.7,19.5,0.3,10.9,62.2,28.4,1.17,2.4,263,Good
39.3,61.2,29.2,38.1,10.3,18.4,1.02,9.9,290,Good
26.2,54.8,8.6,23.7,26.4,11.7,1.34,1.1,278,Moderate
23.6,67.8,35.6,52.4,23.5,23.1,1.51,16.2,308,Hazardous
34,45,25,31.5,11.7,13.4,0.86,1.5,343,Moderate
29.6,62.2,13.4,27.8,50.5,21.1,0.85,5.3,329,Poor
26.3,57.2,62.3,78.8,11.9,18.4,0.96,5.8,288,Poor
29.4,54.6,38.9,40.8,20,0,1.21,1.9,306,Poor
29.9,43.2,40.9,51,14.9,15.6,1.13,4.9,294,Good
19.3,63.4,1.3,2.6,21,17.8,0.85,6.3,287,Poor
31,46.5,38.9,51.5,16.6,6.1,0.58,5.4,320,Good
24.1,75,6.3,23.3,7.8,10.1,0.92,5,299,Moderate
29.6,57,2,19.1,17,23.3,1.13,1.5,322,Hazardous
17.4,70.2,30,39.4,9.7,6.6,1.18,4.6,303,Good
33.4,54.8,14.1,23.7,17.6,15.4,1.05,2.3,294,Good
29.8,74.5,47.8,57.1,15.1,8.1,0.41,0.7,300,Good
26,58.4,42.5,54.5,19.2,4.8,0.96,4.1,289,Moderate
24.5,59,16.6,20.8,-0.4,9.5,0.48,8.2,304,Good
28.9,33.3,14.2,25.7,0.6,19.9,1.22,3.2,275,Good
25.8,37.4,99,104.5,69.1,21.2,0.93,1.6,337,Moderate
27.2,51,63.7,80.8,23.8,9.7,1.17,0.8,305,Good
26.2,43.8,8,19,5.6,15.2,0.56,2.3,273,Good
31,82.1,14.4,26.4,17.5,25,0.81,4.7,308,Poor
28.1,58.9,1.3,9.5,10.9,19.1,0.58,4.1,284,Poor
30.3,33.3,8.3,14.3,16.3,17.8,1.05,3,295,Good
3.5,52,204.3,217,16.6,23,0.77,17.9,306,Moderate
33.4,62.9,3.5,17.2,15.7,9.4,1.2,7,337,Poor
27.7,48.1,15.7,21.3,10.8,21.9,1.36,1.1,284,Moderate
22.1,53,25,41.9,20.4,15.3,0.75,6.5,299,Moderate
22.1,34.9,35.4,51.4,22.6,34.2,0.8,4.6,292,Good
28.8,88.5,8.4,20.8,38.8,9.9,1,5.2,287,Moderate
25.4,79.6,0.6,12.9,26.6,8.9,0.66,20.1,298,Good
18.4,25.6,29.8,37.1,14.3,7.4,0.7,0.7,295,Good
21.8,63.7,30.7,44,32.3,22.2,1.11,3.1,328,Good
23.6,64.5,20.5,27,1.3,22.4,0.9,1.7,276,Good
20.2,60.8,14.2,18.7,23.5,17.9,0.59,3,299,Moderate
22,49.3,9.5,16.3,22.3,24.6,0.37,12.1,292,Hazardous
34,50.5,12.1,28.3,16.5,20.5,0.46,0.7,311,Moderate
25.7,62,9,22.6,16,0,0.85,2.1,295,Good
20.5,40.5,39.6,44.6,13.5,14.1,1.25,0.9,300,Hazardous
24.7,46.3,27,32.2,20.2,26.9,1.46,3.1,297,Good
34.1,60.1,23.6,33.6,27,17.7,1.09,0.8,308,Moderate
25.3,39.3,132.3,141.5,6,18,0.97,9.3,287,Moderate
22.4,81.7,19.4,32.2,49.4,20.7,1.06,3,329,Moderate
17.5,65.9,14.4,27.6,18.4,0,0.65,16.8,290,Moderate
28.9,66.1,53.3,68.9,1.7,20.8,1.22,5.3,287,Poor
27.4,68,21.6,34.6,16.4,14,1.12,2.3,309,Good
16.9,67.6,10,28.8,37.2,16.6,0.29,5.7,312,Good
32.3,48,4.9,18.6,23.9,22.5,1.03,4.5,306,Good
27.3,60.5,26.5,32.9,32.1,15,1.31,0.3,295,Moderate
20.7,46.6,72.4,81.5,10.2,25.7,1.32,1.7,320,Moderate
24.1,82.7,8.6,24.9,41,0.2,1,2.5,286,Good
34.6,52.8,7.5,22.5,13.8,24.9,0.81,3.4,297,Hazardous
36.1,78,20,34.3,26.5,19.9,0.75,0.6,313,Good
21.3,53.2,20,32.5,16.2,22.8,1.09,4.1,305,Good
11.2,76.1,59.3,69.6,22.6,12.6,1.07,0.3,276,Good
29.4,45.7,30.7,40.6,30.1,4,0.66,1.3,315,Poor
20.4,76.3,44.2,51.4,23.6,13.7,1.18,0.4,284,Hazardous
26.3,78.1,55.2,66.1,6.1,19.9,0.87,4.5,307,Good
25.9,68.2,1.3,10.6,17,16.8,0.8,0.2,294,Poor
22.1,48.8,11.2,22.2,13.8,15.8,0.64,2.6,288,Good
22.5,67.3,16.3,35.7,21.8,17.2,0.79,11.9,299,Moderate
28.4,67.6,18.4,24.9,23.6,13.4,0.96,2.5,287,Poor
26.2,72,14.6,24.7,15.3,17.5,0.61,9.2,323,Moderate
23.5,36.1,11.6,10.2,47.7,22.4,1.27,2.3,319,Good
28.1,62.4,40,45.3,10.1,0,1.01,13,279,Moderate
18.6,45.9,11,31.8,10.7,28.6,1.02,1.5,282,Good
25.5,74.5,1.7,7.9,10.3,14.9,0.82,9.4,293,Moderate
22.7,74.7,5.8,13.1,67.8,14,0.63,0,305,Moderate
32.8,51.8,61.5,73.2,36,19.6,1.42,1.8,301,Moderate
28.4,92.9,10.2,19.4,7.4,9.1,0.68,5.4,310,Good
13.4,56.5,6.1,17.4,65.4,2.1,0.83,8.4,288,Moderate
19.4,45.1,31.9,52,21.8,27.5,0.92,5.7,271,Poor
33.6,48.8,23.8,34.5,19.8,11.8,0.95,5.6,343,Poor
28,57,16.4,25.6,15.2,15.1,1.18,19.9,289,Good
29.6,40.2,2.2,5.8,23.1,11.1,0.97,4.5,296,Poor
22.2,86.1,4.9,10.2,10.5,26.2,0.42,9.2,293,Good
26.8,80.3,57.5,64.7,26.1,20.9,0.88,3.6,296,Good
26.7,58.7,28.6,39.9,19.5,13.2,1.18,3.8,298,Good
14.1,48.2,46.7,55.2,24.3,18.5,0.86,1,263,Good
26.2,52.1,11.9,15.2,28.4,17.5,1.12,0.2,303,Good
22.5,40,2,17.5,2.4,14.8,0.54,8.2,325,Good
35.1,67.5,32.5,43.4,43.2,4.8,1.17,5.2,293,Poor
24.3,63.5,16.1,21.3,22.4,26.7,1.3,1.2,309,Moderate
20.8,82.3,52,65.3,17.4,6.8,1.06,10.3,336,Poor
21.8,70.4,160.3,163.8,39.3,17.7,0.38,19.6,315,Moderate
24.2,60.3,7.3,15,36.2,17.4,1.02,6.9,279,Good
22.5,34.6,19.1,21.1,14.3,18.8,1.53,1.4,298,Good
24.1,72.6,49.2,60.3,13.6,5.8,1,3,336,Poor
14.8,79.6,37.4,40.3,21.5,9.9,0.63,5.2,308,Moderate
28.5,71.8,14.4,24.3,28.1,24.5,0.69,5.6,290,Good
29.8,43,11.4,28.8,20.5,19.5,1.16,2.4,297,Good
32.3,59.4,17.8,18.3,40.7,23.2,0.98,11.1,288,Poor
28.9,30.2,30.2,44.2,14.1,2.6,0.69,5.4,282,Moderate
35.3,55.4,18.6,24.5,19.9,1.2,1.24,5.8,305,Good
24.6,63.5,70.5,70.1,18.4,0.5,1.27,8.5,307,Hazardous
18.7,52.9,19.4,36.5,31.7,0,0.59,12.1,284,Good
23.8,51.2,19.2,30.2,9.4,2,1.11,0,316,Moderate
24.1,61,2.8,15.9,28.1,17.5,1.33,0.4,277,Good
25.6,76.2,13.3,19.2,32.8,6.6,0.7,1.9,288,Moderate
32.1,57.3,51.5,54,36.8,9.8,1.14,9.2,311,Hazardous
19.9,62.1,24.2,40.6,22.3,20,0.64,4.5,317,Good
20.8,43.7,9.8,15.4,15.2,23.1,1.13,14.2,315,Hazardous
32.9,59.6,0.3,15.1,12.7,24.4,0.81,5.2,312,Good
19.7,63.5,30.2,40.3,21,15,0.61,8.2,280,Good
34.2,62.1,103.2,111.1,17.8,2.4,0.7,2,312,Poor
21.5,49.9,45.9,60.2,-1.3,19.4,1.13,1.6,299,Good
28.4,44.3,20.3,24.6,21.1,25,0.77,24.2,296,Moderate
30.7,37.8,24.8,39.4,22.2,13.6,0.88,1.1,274,Hazardous
28.7,54.4,4.7,21,12.9,14.4,1.01,14.5,294,Hazardous
19.1,47.2,22.7,24.9,13.6,0,0.62,0.1,298,Good
20.4,31.3,21.9,32.3,-4.6,8.5,1.05,17.1,322,Moderate
36.8,51.7,15.1,26.5,32.1,16.3,0.98,4,308,Good
30.3,100,45.3,55.7,27.8,11.7,0.53,7.9,279,Moderate
18.1,24.1,58.5,74.2,15.7,18.8,0.76,2.5,285,Good
17.9,64.5,11.1,20.2,8.6,13.7,1.13,3.2,296,Poor
22.2,50.4,76.9,92.4,12.4,29.6,0.7,1.4,296,Moderate
26.8,63.1,42.7,47,18,19.8,1.01,1,294,Poor
24,68,8.4,16.4,23.5,9.2,0.63,7.9,291,Good
20.1,28.9,22.9,34.8,19.3,16.1,0.89,1.7,308,Poor
21.6,69.4,114.3,119.7,23.9,7.5,0.89,0.4,275,Moderate
24.5,74.6,3.4,18.3,29.8,1.6,1.17,0.9,309,Moderate
34.8,64.8,1.9,12.6,14.8,6.4,0.17,4.9,311,Moderate
27.6,67.4,11.8,31.1,15.7,15.2,1.16,4,317,Moderate
